mid,buyNum,buyMoney,buyTotal,buyTime,buyNote,buyType,byMid,byName,orderNumber,aliOrderNum,byMoneymemberMoney
518936,900,158000,,2016-06-04T07:18:31.175Z,"","1",965479,"超超",,,
871722,500,113000,,2016-06-03T02:12:15.145Z,"公司赠送","1",908013,"客户经理乖乖",,,
623741,900,40500,,2016-06-15T08:30:03.277Z,"","1",156172,"客户经理佳佳",,,
496534,900,37500,,2016-06-30T06:55:46.092Z,"","1",670288,"客户经理小五",,,
453052,900,34000,,2016-06-25T11:05:25.122Z,"","1",199978,"丫丫",,,
113523,1900,30500,,2016-06-07T13:18:03.250Z,"","1",156172,"客户经理佳佳",,,
369006,900,30500,,2016-06-17T13:41:41.068Z,"","1",199978,"丫丫",,,
878517,900,27000,,2016-06-07T10:13:34.373Z,"","1",965479,"超超",,,
369092,4000,27000,,2016-06-15T08:35:04.163Z,"","1",199978,"丫丫",,,
998516,900,24500,,2016-06-05T07:45:28.163Z,"","1",156172,"客户经理佳佳",,,
398502,1900,24000,,2016-06-10T14:49:49.850Z,"","1",692829,"图图",,,
597965,900,20500,,2016-06-24T05:26:50.408Z,"","1",199978,"丫丫",,,
293092,900,19500,,2016-06-04T07:58:22.777Z,"","1",908013,"客户经理乖乖",,,
258133,900,19200,,2016-06-06T14:14:01.839Z,"","1",156172,"客户经理佳佳",,,
342462,900,19000,,2016-06-05T08:05:04.672Z,"","1",156172,"客户经理佳佳",,,
499924,500,19000,,2016-06-03T08:20:25.181Z,"公司赠送","1",908013,"客户经理乖乖",,,
612670,3000,18500,,2016-06-14T12:52:31.206Z,"","1",199978,"丫丫",,,
837373,4000,18000,,2016-06-19T02:07:49.556Z,"","1",199978,"丫丫",,,
242052,900,18000,,2016-06-04T11:58:46.118Z,"","1",965479,"超超",,,
102825,1900,18000,,2016-06-05T02:47:02.691Z,"","1",156172,"客户经理佳佳",,,
113003,900,17500,,2016-06-04T11:00:52.249Z,"","1",908013,"客户经理乖乖",,,
268690,900,17000,,2016-06-04T13:22:28.946Z,"","1",908013,"客户经理乖乖",,,
878315,500,17000,,2016-06-03T03:31:07.449Z,"活动赠送","1",156172,"客户经理佳佳",,,
910037,900,17000,,2016-06-25T13:36:57.797Z,"","1",199978,"丫丫",,,
812653,1900,16000,,2016-06-06T01:50:47.937Z,"","1",965479,"超超",,,
990449,900,15500,,2016-06-04T06:30:08.634Z,"","1",156172,"客户经理佳佳",,,
680586,1900,15500,,2016-06-11T05:42:51.213Z,"","1",965479,"超超",,,
509040,1900,15000,,2016-06-06T01:21:54.625Z,"","1",908013,"客户经理乖乖",,,
223908,1900,13500,,2016-06-04T13:00:06.515Z,"","1",156172,"客户经理佳佳",,,
861273,4000,13500,,2016-06-04T06:49:27.177Z,"","1",908013,"客户经理乖乖",,,
940443,500,13000,,2016-06-04T01:54:04.576Z,"公司赠送","1",908013,"客户经理乖乖",,,
208466,900,13000,,2016-06-06T09:08:38.777Z,"","1",156172,"客户经理佳佳",,,
878473,1900,12500,,2016-06-04T15:00:57.230Z,"","1",908013,"客户经理乖乖",,,
892830,900,12500,,2016-06-05T13:18:05.840Z,"","1",692829,"图图",,,
437085,900,12500,,2016-06-04T15:51:04.067Z,"","1",965479,"超超",,,
277644,900,12000,,2016-06-04T11:30:39.118Z,"","1",908013,"客户经理乖乖",,,
585826,900,12000,,2016-06-07T01:58:27.688Z,"","1",908013,"客户经理乖乖",,,
390848,900,11500,,2016-06-05T02:35:32.688Z,"","1",965479,"超超",,,
196923,900,11500,,2016-06-04T06:08:57.656Z,"","1",908013,"客户经理乖乖",,,
127283,900,11500,,2016-06-04T11:48:10.626Z,"","1",908013,"客户经理乖乖",,,
764718,900,11500,,2016-06-04T12:38:18.524Z,"","1",965479,"超超",,,
311447,900,11500,,2016-06-05T03:11:42.812Z,"","1",156172,"客户经理佳佳",,,
756574,900,11500,,2016-06-04T11:40:30.117Z,"","1",156172,"客户经理佳佳",,,
923224,900,11500,,2016-06-04T12:19:53.778Z,"","1",908013,"客户经理乖乖",,,
393154,4000,11000,,2016-06-17T13:58:54.370Z,"","1",199978,"丫丫",,,
751959,900,11000,,2016-06-04T11:28:23.176Z,"","1",965479,"超超",,,
356068,900,11000,,2016-06-09T15:11:03.696Z,"","1",965479,"超超",,,
521901,900,11000,,2016-06-04T12:56:05.606Z,"","1",908013,"客户经理乖乖",,,
741288,500,11000,,2016-06-02T09:12:28.973Z,"公司活动赠送","1",908013,"客户经理乖乖",,,
551619,1900,11000,,2016-06-05T06:34:52.006Z,"","1",908013,"客户经理乖乖",,,
862897,500,10500,,2016-06-03T03:04:58.453Z,"公司赠送","1",908013,"客户经理乖乖",,,
615623,900,10500,,2016-06-05T03:15:56.193Z,"","1",908013,"客户经理乖乖",,,
211213,900,10500,,2016-06-07T03:25:44.837Z,"","1",692829,"图图",,,
369155,500,10500,,2016-06-03T09:19:33.779Z,"活动赠送","1",156172,"客户经理佳佳",,,
582908,1900,10500,,2016-06-04T13:52:50.080Z,"","1",156172,"客户经理佳佳",,,
519064,1900,10500,,2016-06-21T12:22:29.318Z,"","1",199978,"丫丫",,,
520211,1900,10500,,2016-06-12T07:18:57.615Z,"","1",908013,"客户经理乖乖",,,
525461,900,10500,,2016-06-05T07:54:56.740Z,"","1",156172,"客户经理佳佳",,,
659024,1900,10000,,2016-06-09T01:42:13.348Z,"","1",156172,"客户经理佳佳",,,
207923,4000,10000,,2016-07-02T08:06:49.531Z,"","1",199978,"丫丫",,,
901593,900,10000,,2016-06-05T03:22:36.165Z,"","1",156172,"客户经理佳佳",,,
393818,1900,10000,,2016-06-04T15:15:58.524Z,"","1",908013,"客户经理乖乖",,,
916389,900,10000,,2016-06-05T02:56:55.461Z,"","1",965479,"超超",,,
119374,900,10000,,2016-06-04T09:57:03.902Z,"","1",908013,"客户经理乖乖",,,
813591,4000,10000,,2016-06-15T07:26:58.141Z,"","1",908013,"客户经理乖乖",,,
862202,4000,10000,,2016-06-06T01:41:30.612Z,"","1",156172,"客户经理佳佳",,,
226125,900,9500,,2016-06-15T15:54:31.807Z,"","1",199978,"丫丫",,,
747089,900,9500,,2016-06-04T11:47:11.217Z,"","1",908013,"客户经理乖乖",,,
682077,900,9500,,2016-06-09T10:53:28.106Z,"","1",156172,"客户经理佳佳",,,
929757,900,9500,,2016-06-04T13:06:21.825Z,"","1",156172,"客户经理佳佳",,,
315244,900,9500,,2016-06-04T12:29:50.714Z,"","1",156172,"客户经理佳佳",,,
547164,900,9500,,2016-06-18T03:52:37.712Z,"","1",199978,"丫丫",,,
882581,1900,9500,,2016-06-05T11:47:25.958Z,"","1",908013,"客户经理乖乖",,,
164822,900,9500,,2016-06-04T11:52:12.388Z,"","1",965479,"超超",,,
985718,1900,9500,,2016-06-05T07:34:57.708Z,"","1",908013,"客户经理乖乖",,,
740734,1900,9500,,2016-06-04T10:29:46.335Z,"","1",908013,"客户经理乖乖",,,
339808,900,9500,,2016-06-05T05:30:36.850Z,"","1",965479,"超超",,,
970899,500,9500,,2016-06-03T14:58:59.848Z,"活动赠送","1",156172,"客户经理佳佳",,,
173350,1900,9500,,2016-06-07T07:55:13.007Z,"","1",908013,"客户经理乖乖",,,
565267,900,9500,,2016-06-19T07:10:50.602Z,"","1",199978,"丫丫",,,
690318,500,9500,,2016-06-03T09:48:13.077Z,"活动赠送","1",156172,"客户经理佳佳",,,
230602,900,9500,,2016-06-19T05:06:29.633Z,"","1",199978,"丫丫",,,
983154,900,9500,,2016-06-05T06:14:09.561Z,"","1",908013,"客户经理乖乖",,,
408053,1900,9000,,2016-06-14T03:19:09.742Z,"","1",908013,"客户经理乖乖",,,
727387,900,9000,,2016-06-06T07:03:00.076Z,"","1",156172,"客户经理佳佳",,,
663156,900,9000,,2016-06-04T06:55:28.098Z,"","1",156172,"客户经理佳佳",,,
641909,500,9000,,2016-06-03T07:48:39.351Z,"活动赠送","1",156172,"客户经理佳佳",,,
592973,900,9000,,2016-06-12T05:40:32.396Z,"","1",965479,"超超",,,
655131,900,9000,,2016-06-05T01:29:41.631Z,"","1",908013,"客户经理乖乖",,,
592024,1900,9000,,2016-06-04T12:08:23.164Z,"","1",965479,"超超",,,
548569,500,9000,,2016-06-03T08:13:43.721Z,"公司砖石","1",908013,"客户经理乖乖",,,
324836,1900,9000,,2016-06-11T01:45:56.856Z,"","1",965479,"超超",,,
576043,900,9000,,2016-06-07T04:41:37.210Z,"","1",692829,"图图",,,
530846,4000,9000,,2016-06-05T03:45:06.259Z,"","1",908013,"客户经理乖乖",,,
222598,1900,9000,,2016-06-04T14:22:09.063Z,"","1",156172,"客户经理佳佳",,,
245190,4000,9000,,2016-06-10T11:03:22.531Z,"","1",965479,"超超",,,
626062,900,9000,,2016-06-05T09:34:09.217Z,"","1",156172,"客户经理佳佳",,,
741672,900,9000,,2016-06-12T09:16:22.274Z,"","1",156172,"客户经理佳佳",,,
250982,900,9000,,2016-06-06T04:40:25.537Z,"","1",908013,"客户经理乖乖",,,
429202,900,9000,,2016-06-13T06:33:53.465Z,"","1",908013,"客户经理乖乖",,,
474576,900,9000,,2016-06-19T04:10:52.478Z,"","1",199978,"丫丫",,,
976644,500,8800,,2016-06-04T07:27:21.021Z,"","1",156172,"客户经理佳佳",,,
775165,900,8500,,2016-06-04T15:08:12.935Z,"","1",908013,"客户经理乖乖",,,
